temperature,humidity,cr
21.4,52.2,4.0
22.55,50.6,5.0
22.5,50.5,4.0
21.9,53.45,5.0
21.9,53.5,5.0
21.9,53.6,5.0
21.9,53.1,5.0
21.9,53.25,5.0
21.9,53.25,5.0
21.9,53.52,5.0
21.9,53.39,5.0
21.9,53.46,5.0
21.9,53.42,5.0
21.9,53.44,5.0
21.9,53.3,5.0
21.9,54.4,5.0
21.9,54.55,5.0
22.3,54.0,5.0
22.4,53.65,5.0
22.4,53.95,5.0
22.5,53.9,4.0
22.6,53.7,3.0
22.6,53.7,5.0
22.6,53.7,3.0
22.6,53.7,3.0
22.6,53.25,3.0
22.6,53.45,5.0
22.6,53.7,5.0
22.6,53.7,4.0
22.6,53.7,3.0
22.6,53.7,3.0
22.6,53.7,3.0
22.6,53.7,3.0
22.6,53.7,3.0
22.6,53.7,5.0
22.6,53.65,5.0
22.6,53.85,5.0
22.6,53.75,3.0
22.6,54.5,3.0
22.7,54.55,3.0
22.7,54.58,3.0
22.8,54.4,5.0
23.3,51.7,5.0
23.4,50.95,3.0
22.2,48.7,3.0
21.7,46.65,3.0
23.6,44.2,2.0
23.5,45.5,3.0
23.5,46.1,5.0
24.4,45.05,5.0
22.6,43.6,5.0
23.35,42.2,5.0
23.4,41.45,5.0
23.1,41.75,3.0
23.1,42.3,3.0
26.5,36.4,5.0
23.1,42.25,3.0
23.1,34.3,5.0
23.15,33.85,5.0
23.12,33.98,5.0
22.0,38.95,4.0
23.3,39.5,3.0
23.3,40.25,4.0
23.0,41.6,4.0
23.0,41.7,5.0
23.0,41.35,5.0
23.0,40.98,5.0
23.0,40.79,5.0
23.0,41.1,5.0
23.0,41.4,5.0
23.0,41.55,5.0
23.0,41.58,5.0
23.0,41.59,5.0
23.0,41.64,5.0
23.0,41.67,5.0
23.0,41.64,5.0
23.0,41.12,5.0
23.0,41.41,5.0
23.05,41.6,5.0
23.02,41.65,5.0
23.01,41.62,5.0
23.01,41.61,5.0
23.01,41.1,5.0
23.01,40.85,5.0
23.0,41.1,5.0
23.0,41.35,5.0
23.05,41.6,5.0
23.02,41.6,5.0
23.01,41.7,5.0
23.01,41.65,5.0
23.0,41.55,5.0
23.0,41.58,5.0
23.0,41.64,5.0
23.0,41.67,5.0
23.05,41.1,5.0
23.08,41.45,5.0
23.09,41.58,5.0
23.1,41.54,5.0
23.1,41.57,5.0
23.1,41.54,5.0
23.1,41.52,5.0
23.1,41.56,5.0
23.05,41.58,5.0
23.08,41.69,5.0
23.1,41.1,5.0
23.1,41.35,5.0
23.1,41.48,5.0
23.1,41.54,5.0
23.1,41.57,5.0
23.1,41.58,5.0
23.1,41.64,5.0
23.1,41.67,5.0
23.1,41.68,5.0
23.1,41.59,5.0
23.1,41.64,5.0
23.1,41.72,5.0
23.1,41.31,5.0
23.1,41.46,5.0
23.1,41.53,5.0
23.1,41.62,5.0
23.1,41.56,5.0
23.1,41.7,4.0
23.1,41.65,5.0
23.1,41.62,5.0
23.1,41.61,5.0
23.1,41.56,5.0
23.1,41.53,5.0
23.1,41.56,5.0
23.1,41.53,5.0
23.1,41.52,5.0
23.1,41.61,5.0
23.1,41.6,5.0
23.1,41.65,4.0
23.1,41.55,3.0
23.1,41.58,5.0
23.1,41.59,5.0
23.1,41.6,5.0
23.1,41.6,5.0
23.1,41.6,5.0
23.1,41.6,5.0
23.1,41.5,5.0
23.1,41.6,5.0
23.1,41.65,5.0
23.1,41.6,5.0
23.1,41.6,5.0
23.1,41.6,5.0
23.1,41.6,5.0
23.1,41.65,5.0
23.1,40.9,5.0
23.1,41.2,5.0
23.1,41.45,5.0
23.1,41.55,4.0
23.1,41.6,4.0
22.6,40.7,3.0
23.3,37.15,3.0
21.9,37.35,3.0
23.4,32.4,2.0
24.7,32.3,4.0
